Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Bone Broth From 'Nom Nom Paleo',american,5.22,1.29,3.2,2022-10-16,17:20:09,4.046511627906977,0.403125
paleo,"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",south east asian,181.55,28.62,146.14,2022-10-16,17:20:09,6.3434661076170515,0.19583960585739704
paleo,Paleo Pumpkin Pie,american,30.91,302.59,96.76,2022-10-16,17:20:09,0.10215142602201,3.1272219925589084
paleo,Strawberry Guacamole recipes,mexican,9.62,75.78,59.89,2022-10-16,17:20:09,0.12694642385853785,1.2653197528802804
paleo,"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,39.84,54.08,71.55,2022-10-16,17:20:09,0.7366863905325445,0.7558350803633822
paleo,Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,68.62,34.15,42.44,2022-10-16,17:20:09,2.009370424597365,0.8046654099905749
paleo,Paleo Pumpkin Pie recipes,american,30.03,275.88,97.68,2022-10-16,17:20:09,0.10885167464114832,2.824324324324324
paleo,Autoimmune Paleo Pesto,italian,4.25,14.15,72.9,2022-10-16,17:20:09,0.30035335689045933,0.19410150891632372
paleo,Baked Banana Chip Encrusted French Toast,french,152.88,1874.52,385.8,2022-10-16,17:20:09,0.0815568785609116,4.858786936236392
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91,274.87,400.01,2022-10-16,17:20:09,2.193436897442427,0.6871578210544736
paleo,Paleo Collard Burrito,mexican,44.62,28.66,78.46,2022-10-16,17:20:09,1.5568736915561758,0.3652816721896508
paleo,Paleo Chawanmushi (Savory Egg Custard) recipes,american,61.43,13.29,24.6,2022-10-16,17:20:09,4.622272385252069,0.5402439024390243
paleo,‘paleo' banana bread,american,46.69,192.54,156.48,2022-10-16,17:20:09,0.24249506596031994,1.2304447852760736
paleo,Leftover Turkey Sandwich recipes,american,54.09,34.97,14.1,2022-10-16,17:20:16,1.546754360880755,2.4801418439716314
paleo,Paleo Pumpkin Waffles,american,51.24,89.63,78.38,2022-10-16,17:20:16,0.5716835880843468,1.1435315131411075
paleo,Fudgy Paleo Brownies,french,64.29,263.65,176.36,2022-10-16,17:20:16,0.2438460079651053,1.4949535041959625
paleo,Magic Wings recipes,american,320.76,28.36,252.82,2022-10-16,17:20:16,11.310296191819464,0.1121746697254964
paleo,Turkey Club Sandwich,american,46.92,39.94,19.6,2022-10-16,17:20:16,1.1747621432148223,2.037755102040816
paleo,Easy Paleo Meatloaf,american,185.99,47.82,260.64,2022-10-16,17:20:16,3.8893768297783358,0.18347145488029468
paleo,Paleo Crepes,french,15.73,15.91,49.16,2022-10-16,17:20:16,0.9886863607793841,0.3236371033360456
paleo,Chocolate Pecan Pie recipes,american,59.86,567.39,320.76,2022-10-16,17:20:16,0.10550062567193641,1.768892630003741
paleo,Simple Crab Salad recipes,american,82.1,4.75,20.24,2022-10-16,17:20:16,17.28421052631579,0.23468379446640317
paleo,Chocolate Pecan Pie,american,54.7,503.39,320.12,2022-10-16,17:20:16,0.1086632630763424,1.5725040609771335
paleo,Asian Meatballs recipes,indian,167.07,55.11,210.14,2022-10-16,17:20:16,3.03157321720196,0.2622537356048349
paleo,Blueberry French Toast Casserole,french,78.59,290.1,84.95,2022-10-16,17:20:16,0.2709065839365736,3.414949970570924
paleo,Paleo Spanish Rice,mediterranean,28.67,64.13,37.71,2022-10-16,17:20:23,0.44706065803835965,1.7006099177936884
paleo,Whole30® Sriracha,south east asian,12.16,85.78,2.91,2022-10-16,17:20:23,0.14175798554441596,29.477663230240548
paleo,Banana Cream Pie,american,17.85,215.69,304.25,2022-10-16,17:20:23,0.08275766145857481,0.708923582580115
paleo,Spicy Salmon Cucumber Bites recipes,nordic,49.84,17.2,75.62,2022-10-16,17:20:23,2.8976744186046517,0.2274530547474213
paleo,Blueberry French Toast Casserole recipes,french,78.59,290.1,84.95,2022-10-16,17:20:23,0.2709065839365736,3.414949970570924
paleo,Paleo Honey Cake,eastern europe,87.32,258.25,259.21,2022-10-16,17:20:23,0.3381219748305905,0.9962964391805873
paleo,Chocolate Pumpkin Pie recipes,central europe,44.05,429.69,162.78,2022-10-16,17:20:23,0.10251576718099094,2.6396977515665316
paleo,Paleo Creamy Alfredo,american,16.48,32.46,91.36,2022-10-16,17:20:23,0.5077017868145409,0.35529772329246934
paleo,Paleo Blini recipes,eastern europe,15.5,12.78,23.29,2022-10-16,17:20:23,1.2128325508607198,0.5487333619579219
paleo,Paleo Tzimmes,kosher,16.11,236.88,3.86,2022-10-16,17:20:23,0.06800911854103343,61.36787564766839
paleo,Paleo Pumpkin Bars,american,39.73,169.01,117.95,2022-10-16,17:20:23,0.23507484764215134,1.4328952946163627
paleo,Paleo Fruitcake,american,82.45,271.48,204.91,2022-10-16,17:20:23,0.30370561367319876,1.324874335073935
paleo,Paleo Chocolate Frosting,american,14.19,85.18,150.26,2022-10-16,17:20:23,0.16658840103310635,0.5668840676161321
paleo,Paleo Crepes recipes,french,27.38,9.57,61.87,2022-10-16,17:20:29,2.8610240334378263,0.15467916599321158
paleo,Paleo Peach Crisp,french,39.58,126.88,97.83,2022-10-16,17:20:29,0.3119482976040353,1.296943677808443
paleo,Paleo Pumpkin Bars,american,36.27,182.51,105.1,2022-10-16,17:20:29,0.1987288367760671,1.7365366317792579
paleo,Paleo Honey Cake,american,87.32,258.25,259.24,2022-10-16,17:20:29,0.3381219748305905,0.9961811448850486
paleo,Paleo Carrot Soup,american,27.17,116.73,125.14,2022-10-16,17:20:29,0.232759359205003,0.9327952692983859
paleo,Paleo Fruitcake recipes,american,85.97,271.68,207.57,2022-10-16,17:20:29,0.31643845700824497,1.3088596618008383
paleo,Best Paleo Chili,american,193.11,83.93,227.24,2022-10-16,17:20:36,2.300845943047778,0.3693451857067418
paleo,Perfect Paleo Pizza,italian,123.47,75.65,235.87,2022-10-16,17:20:36,1.6321216126900198,0.32072751939627764
paleo,Grain-Free Cauliflower Fried Rice recipes,chinese,37.54,56.92,53.88,2022-10-16,17:20:36,0.6595221363316935,1.0564216778025242
paleo,Paleo Chocolate Frosting recipes,american,7.27,112.19,269.91,2022-10-16,17:20:36,0.0648007843836349,0.415657070875477
paleo,Paleo Eggplant Lasagna,italian,172.17,186.26,467.17,2022-10-16,17:20:36,0.9243530548695372,0.3986985465676306
paleo,Paleo Pecan Tart Crust,american,20.15,24.96,111.99,2022-10-16,17:20:36,0.8072916666666666,0.2228770425930887
paleo,Paleo Shepherd’s Pie,american,189.35,143.25,300.66,2022-10-16,17:20:36,1.3218150087260034,0.47645180602674114
paleo,Paleo Pie Crust recipes,american,56.39,43.01,143.87,2022-10-16,17:20:36,1.3110904440827715,0.29895044137068183
paleo,Paleo Mug Cake recipes,british,10.48,19.56,12.5,2022-10-16,17:20:36,0.5357873210633948,1.5648
paleo,Paleo Flourless Chocolate Cake,american,83.82,384.27,324.34,2022-10-16,17:20:36,0.218127878835194,1.1847752358636
paleo,Mini Paleo Egg Bites,american,118.36,6.54,61.57,2022-10-16,17:20:36,18.097859327217126,0.10622056196199448
paleo,Egg-Free Paleo Macaroons,french,9.91,99.09,110.51,2022-10-16,17:20:36,0.10001009183570492,0.8966609356619311
paleo,Paleo Raw Chocolate Bites,american,46.07,261.6,147.5,2022-10-16,17:20:36,0.17610856269113148,1.7735593220338985
